Remove Pin from Net: Failed to remove Pin
Remove Pin from Net: Failed to remove Pin
Remove Pin from Net: Unknown Pin: Pin T?-1
Remove Pin from Net: Unknown Pin: Pin T?-2
Change Component Kind : Designator=J? Old Kind=Standard New Kind=Standard
Change component parameters: Designator = "J?" ("J?"); Footprint = "TP_1x2mm_UN1Q"; UniqueID = "\SCPGRQXY" ("\SCPGRQXY")
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM033C71C104KE14D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM033C71C104KE14D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "302"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = "X7S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "+/-10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "26042024"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.35"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM033C81A224KE01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM033C81A224KE01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "302"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = "X6S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "+/-20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM033C71C104KE14D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM033C71C104KE14D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "302"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = "X7S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "+/-10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM0335C1H270JA01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM0335C1H270JA01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "302"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "+/-5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "27pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "26042024"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.35"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM033C81A224KE01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
